IP,Country,class
5.179.66.54,,anomaly
5.18.135.90,EU,anomaly
5.18.205.39,EU,normal
5.187.76.108,,anomaly
5.187.76.36,,normal
5.189.11.67,,anomaly
5.189.130.119,,anomaly
5.189.162.27,,normal
5.189.162.27,,normal
5.189.162.27,,anomaly
5.19.1.179,EU,normal
5.19.1.89,EU,normal
5.19.244.174,EU,anomaly
5.196.106.197,,anomaly
5.196.106.197,,anomaly
5.196.106.197,,normal
5.196.106.197,,normal
5.196.106.197,,anomaly
5.196.106.217,,normal
5.197.217.2,,anomaly
5.199.179.180,,normal
5.199.212.173,,anomaly
5.20.173.140,EU,normal
5.2.104.165,EU,normal
5.2.64.123,EU,anomaly
5.2.97.232,EU,anomaly
5.202.111.101,,normal
5.202.130.61,,anomaly
5.206.109.190,,anomaly
5.211.109.75,,anomaly
5.218.142.215,,normal
5.222.130.253,,anomaly
5.226.170.155,,normal
5.226.170.185,,normal
5.226.170.189,,anomaly
5.226.170.192,,anomaly
5.226.170.207,,normal
5.226.174.239,,anomaly
5.226.175.206,,normal
5.226.175.206,,normal
5.226.175.206,,normal
5.226.175.206,,normal
5.226.175.219,,anomaly
5.226.175.219,,normal
5.226.175.219,,normal
5.228.103.206,,normal
5.228.99.191,,normal
5.228.99.64,,normal
5.230.153.26,,normal
5.230.153.26,,anomaly
5.230.153.89,,normal
5.230.154.103,,normal
5.230.154.113,,normal
5.230.154.209,,anomaly
5.230.154.209,,anomaly
5.230.154.46,,normal
5.231.237.231,,anomaly
5.231.237.240,,normal
5.235.240.15,,normal
5.239.102.120,,normal
5.245.237.84,,normal
5.248.165.0,,normal
5.248.168.7,,normal
5.248.217.203,,anomaly
5.248.233.206,,anomaly
5.248.233.206,,normal
5.249.26.221,,normal
5.250.209.245,,anomaly
5.254.65.19,,normal
5.254.65.21,,anomaly
5.254.97.105,,normal
5.255.253.5,,normal
5.255.75.76,,normal
5.255.77.129,,anomaly
5.255.77.129,,normal
5.255.77.53,,anomaly
5.255.81.90,,anomaly
5.255.91.73,,anomaly
5.30.111.206,EU,anomaly
5.30.72.67,EU,anomaly
5.3.157.46,EU,normal
5.3.199.236,EU,anomaly
5.3.199.237,EU,normal
5.3.201.108,EU,anomaly
5.3.206.72,EU,normal
5.3.206.79,EU,anomaly
5.3.210.81,EU,normal
5.32.124.146,EU,anomaly
5.32.72.140,EU,anomaly
5.34.240.104,EU,normal
5.34.240.159,EU,normal
5.34.240.190,EU,normal
5.34.241.115,EU,normal
5.34.241.158,EU,normal
5.34.241.218,EU,anomaly
5.34.241.86,EU,normal
5.34.243.179,EU,anomaly
5.34.243.214,EU,anomaly
5.34.246.101,EU,anomaly
5.34.246.24,EU,normal
5.34.246.49,EU,anomaly
5.34.67.195,EU,normal
5.35.25.223,EU,normal
5.39.26.118,EU,anomaly
5.39.74.118,EU,anomaly
5.41.158.119,EU,anomaly
5.41.48.152,EU,anomaly
5.43.1.227,EU,normal
5.44.168.16,EU,anomaly
5.44.172.113,EU,normal
5.44.172.22,EU,normal
5.44.174.1,EU,anomaly
5.44.38.68,EU,anomaly
5.44.39.153,EU,normal
5.44.39.177,EU,anomaly
5.44.39.5,EU,anomaly
5.46.135.117,EU,normal
5.46.171.233,EU,anomaly
5.46.210.221,EU,anomaly
5.46.226.59,EU,anomaly
5.46.29.123,EU,anomaly
5.46.39.32,EU,normal
5.46.6.8,EU,normal
5.47.139.149,EU,normal
5.47.141.111,EU,anomaly
5.47.169.155,EU,normal
5.47.242.35,EU,normal
5.50.73.13,EU,normal
5.53.200.28,EU,anomaly
5.58.10.202,EU,anomaly
5.58.31.53,EU,normal
5.62.1.21,EU,normal
5.62.4.47,EU,normal
5.64.24.55,,anomaly
5.65.114.38,,normal
5.65.3.79,,normal
5.66.196.153,,anomaly
5.66.197.102,,normal
5.67.221.16,,anomaly
5.68.101.243,,anomaly
5.69.151.121,,normal
5.70.210.73,,normal
5.70.79.255,,anomaly
5.71.190.187,,normal
5.71.30.93,,anomaly
5.71.86.12,,normal
5.73.55.97,,anomaly
5.76.147.214,,anomaly
5.76.50.42,,normal
5.78.152.33,,anomaly
5.78.220.130,,anomaly
5.80.131.90,,normal
5.80.206.180,,anomaly
5.80.233.220,,anomaly
5.80.43.81,,anomaly
5.80.82.77,,normal
5.8.201.169,EU,anomaly
5.82.118.162,,normal
5.90.102.144,,anomaly
5.90.4.4,,normal
5.90.6.80,,normal
5.90.73.220,,normal
5.9.106.81,EU,anomaly
5.9.106.81,EU,anomaly
5.9.112.6,EU,normal
5.9.112.6,EU,normal
5.9.112.6,EU,anomaly
5.9.112.6,EU,normal
5.9.112.6,EU,anomaly
5.9.112.6,EU,anomaly
5.9.112.6,EU,normal
5.9.112.6,EU,anomaly
5.9.112.6,EU,anomaly
5.9.112.6,EU,anomaly
5.9.112.6,EU,anomaly
5.9.112.6,EU,normal
5.9.112.6,EU,anomaly
5.9.145.132,EU,normal
5.9.145.132,EU,anomaly
5.9.145.132,EU,normal
5.9.145.132,EU,normal
5.9.145.132,EU,anomaly
5.9.145.132,EU,normal
5.9.145.132,EU,normal
5.9.145.132,EU,normal
5.9.145.132,EU,anomaly
5.9.145.132,EU,normal
5.9.145.132,EU,anomaly
5.9.145.132,EU,normal
5.9.145.132,EU,normal
5.9.145.132,EU,anomaly
5.9.145.132,EU,normal
5.9.145.132,EU,anomaly
5.9.145.132,EU,anomaly
5.9.17.118,EU,anomaly
5.9.17.118,EU,anomaly
5.9.17.118,EU,normal
5.9.17.118,EU,anomaly
5.9.17.118,EU,normal
5.9.17.118,EU,anomaly
5.9.17.118,EU,normal
5.9.17.118,EU,normal
5.9.17.118,EU,normal
5.9.17.118,EU,normal
5.9.17.118,EU,normal
5.9.17.118,EU,normal
5.9.17.118,EU,anomaly
5.9.17.118,EU,normal
5.9.17.118,EU,anomaly
5.9.17.118,EU,anomaly
5.9.17.118,EU,normal
5.9.191.59,EU,normal
5.9.21.177,EU,anomaly
5.9.28.41,EU,anomaly
5.9.65.22,EU,anomaly
5.9.94.207,EU,normal
5.9.94.207,EU,normal
5.9.94.207,EU,normal
5.9.94.207,EU,anomaly
5.9.94.207,EU,normal
5.9.94.207,EU,anomaly
5.9.94.207,EU,anomaly
5.9.94.207,EU,normal
5.9.94.207,EU,normal
5.9.94.207,EU,normal
5.9.94.207,EU,anomaly
5.9.94.207,EU,anomaly
5.9.94.207,EU,normal
5.94.230.67,,normal
5.97.213.66,,normal
8.12.245.15,US,normal
8.18.218.141,US,normal
